#,Item No.,Description,UoM
71,CN10302583,"""""FILTER CLOTH FORETP FILTER PRESS   SIZE : 38"""" X 40""""   10#""",NO
72,CN10302602,"""""""""""CHAIN SIMPLEX   SIZE : 1"""""""" PITCH""""""",MR
73,CN10302604,"""""ELBOW   SS316   SCH10   ERW   BW   90 DEG. SIZE : 20NB ( 3/4"""" )""",NO
74,CN10302617,"""""SLEVEE FOR 3 WAY VALVE   SIZE : 6""""   MODEL : T-600  """,NO
75,CN10302618,"""""SEAL KIT FOR 3 WAY VALVE   SIZE : 6""""   MOC : CARON FILLED TEFLON""",NO
76,CN10302619,"""""DIAPHRAGM VALVE WITH RUBBER LINED   SIZE : 8""""   MOC : CS""",NO
77,CN10302634,"""""END FILTER CLOTH FOR ETP FILTER PRESS   SIZE : 38"""" X 40""""""",NO
78,CN10302677,"""""PIPE   SS316   SMLS   SCH20   SIZE : 3"""" ( 80 NB )""",MR
79,CN10302679,"""""PLUG VALVE TWO WAY ( PARTIAL JACKETED )   SIZE : 2"""" ( 50 NB ) TYPE : 127 ( GERMAN DESIGN )""",NO
80,CN10302774,"PVC REDUCER   SIZE : 6 "" X 4""",NO
81,CN10302775,"""""FLANGE   PVC   SIZE : 6""""""",NO
82,CN10302779,"""""PIPE   UPVC   SIZE : 1""""""",MR
83,CN10302780,"""""LONG BEND   UPVC   SIZE : 1""""""",NO
84,CN10302781,"""""TEE   UPVC   SIZE : 1""""""",NO
85,CN10302782,"""""COUPLING   UPVC   SIZE : 1""""""",NO
86,CN10302783,"""""RED. ELBOW   THREADED   UPVC   SIZE : 1"""" X 1/2""""""",NO
87,CN10302784,"""""BALL VALVE   UPVC   SIZE : 1""""""",NO
88,CN10302786,"""""BALL VALVE   SS316   SIZE : 3"""" JACKETED   FLANGED END.""",NO
89,CN10302788,"""""FLANGE   CS   PN10   SIZE : 1"""" (25MM)  """,NO
90,CN10302808,"""""PIPE   CS   ERW  CLASS ' C '   SIZE : 20MM ( 3/4"""" )""",MR
91,CN10302816,"PVC HOSE TRANSPARENT GI WIRE IMPREGNATED SIZE: (2"") 50MM ID X 58MM OD TEMP:70DEGC  GRADE: FOOD",MR
92,CN10303081,CHALK PIECE WHITE COLOUR,NO
93,CN10303088,"TEE REDUCER PVC 10"" X 6""",NO
94,CN10303089,"REDUCER BEND PVC 10"" X 6""",NO
95,CN10303090,"REDUCER 10"" X 6"" PVC",NO
96,CN10303093,"""""U"" CLAMP GI 6""",NO
97,CN10303235,"TEE UPVC 11/2"" EQU SW PIPE",NO
98,CN10303366,"FLANGE 32MM (1 1/4"") UPVC 150# SORF",NO
99,CN10303440,"REDUCER 2""X1” UPVC SCH 40",NO
100,CN10303441,"FLANGE 3""(80 NB) WITH TAIL PIECE 300# UPVC",NO
101,CN10303449,"MEALS TOKEN 37MM DIA X 2MM THK ""TCL CANTEEN"" PRINT",NO
102,CN10303461,"PLYWOOD 3/8"" X 13"" X 48""",NO
103,CN10303462,"COLUMN 3""X3""X12-0 FEET TIMBER",NO
104,CN10303463,"""""HYDROGEN PEROXIDE 50% MAKE; SOLVAY",KG
105,CN10303483,"FILTER PRESS CLOTH 38""X40"" MOC PP",SETS
106,CN10303484,"CHAIN ROLLER SINGLE STANDARD SIMPLEX 5/8"" WITH MASTER LINK",MR
107,CN10303529,"PIPE UPVC 11/4"" BORE WELL LONG 3MTRS",NO
108,CN10303530,"ADAPTOR UPVC 11/4""",NO
109,CN10303533,"ZINC ACETATE ""SQ"" CODE:28755",GMS
110,CN10303559,"PIPE CPVC 11/2"" SDR-II",MR
111,CN10303560,"COUPLING CPVC 11/2"" SDR-II",NO
112,CN10303561,"ELBOW CPVC 11/2"" SW SDR-II",NO
113,CN10303562,"FLANGE WITH TAIL PIECE CPVC 11/2"" SW SDR-II",NO
114,CN10303564,"REDUCER CPVC 2X11/2"" (50mmx40mm) SDR-II",NO
115,CN10303565,"REDUCER CPVC 2X1"" (50mmx25mm) SDR-II",NO
116,CN10303592,"PIPE  MTL  SEAMLESS  1"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
117,CN10303593,"PIPE  MTL  SEAMLESS  11/2"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
118,CN10303594,"PIPE  MTL  SEAMLESS  2"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
119,CN10303595,"PIPE  MTL  SEAMLESS  21/2"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
120,CN10303596,"PIPE  MTL  SEAMLESS  3"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
121,CN10303597,"PIPE  MTL  SEAMLESS  4"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
122,CN10303598,"PIPE  MTL  SEAMLESS  6"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
123,CN10303599,"PIPE  MTL  ERW 10"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
124,CN10303600,"PIPE  MTL  ERW 12"" SCH 40 DUPLEX STAINLESS STEEL 2205",MR
125,CN10303601,"PIPE  MTL  ERW 14"" SCH 40 THK 5MM DUPLEX STAINLESS STEEL 2205",MR
126,CN10303602,"PIPE  MTL  ERW 16"" SCH 40 THK 5MM DUPLEX STAINLESS STEEL 2205",MR
127,CN10303603,"PIPE  MTL  ERW 18"" SCH 40 THK 5.6MM DUPLEX STAINLESS STEEL 2205",MR
128,CN10303641,"TEE 1.5""X1"" CPVC",NO
129,CN10303642,"TEE 1.5""X3/4"" CPVC",NO
130,CN10303643,"UNION 1.5"" CPVC",NO
131,CN10303644,"ADOPTER MALE THREAD 1.5"" CPVC",NO
132,CN10303645,"UNION FEMALE THREAD ADOPTER 3/4"" CPVC",NO
133,CN10303646,"UNION MALE THREAD ADOPTER 3/4"" CPVC",NO
134,CN10303671,"DUMMY 3/4"" CPVC",NO
135,CN10303808,"""""PIPE SIZE - 1 1/2"""" (40MM)  SS316  SCH 80  SMLS""",MR
136,CN10303809,"""""PIPE SIZE - 2"""" (50MM)  SS316  SCH 80  SMLS""",MR
137,CN10303822,"""""REDUCER ECCENTRIC SIZE- 2”X1”(50X25MM) SS316 SCH 80 SMLS   """,NO
138,CN10303877,"WIPER 18"" WITH METAL PIPE HANDLE",NO
139,CN10303899,"DIMETHYL SULPHOXIDE ""SQ"" / AR CODE : 23125 / 38216",ML
140,CN10303900,"DIMETHYL PHTHALATE ""SQ"" / AR CAS NUMBER:131-11-3",ML
141,CN10303919,"FLANGE  CS  SIZE:3/4"" BLRF  RATING- 150",NO
142,CN10303920,"FLANGE  CS  SIZE:1"" WNRF  RATING- PN25 SCHEDULE-40",NO
143,CN10303921,"FLANGE  CS  SIZE:24"" WNRF  RATING- PN10 SCHEDULE- 10MM THK",NO
144,CN10303922,"FLANGE  CS  SIZE:28"" WNRF  RATING- PN10 SCHEDULE- 16MM THK",NO
145,CN10303933,"UNION COUPLING 1/2"" THD UPVC",NO
146,CN10303937,"ELBOW 90DEG SW 1/2"" UPVC",NO
147,CN10303938,"COUPLING SW 1/2"" UPVC",NO
148,CN10303939,"ADAPTOR 1/2"" UPVC WITH FEMALE BRASS THREAD",NO
149,CN10303940,"ADAPTOR 1/2"" UPVC WITH MALE BRASS THREAD",NO
150,CN10303971,"CARTRIDGE FOR HAND CODING MACHINE - 1""",NO
151,CN10304001,"""""TEE UNEQUAL SIZE- 3”X 1 1/2”(80X40MM) DUPLEX",NO
152,CN10304217,"TUBE,SS ,  1/4"" ,SS316",MR
153,CN10304312,"TEST SIEVE SS304 MESH20, HEIGHT 2"", DIA:8""",NO
154,CN10304530,"WELDOLET  1""(25NB) SCH40S SEAMLESS BW SS304",NO
155,CN10304572,"PLUG 3/4"" MOC SS WITH FKM SEAL",NO
156,CN10304573,"SOCKET 3/4"" MOC SS WITH FKM SEAL",NO
157,CN10304586,"ELBOW 2-1/2""(65 NB) 90° SCH 40 CS BW NIBR",NO
158,CN10304587,"FLANGE 3""(80NB) CL.600 CS WELD NECK ENDS RAISED FACE NIBR",NO
159,CN10304588,"ELBOW 8""(200 NB) 90° SCH 80 SEAMLESS CS BW NIBR",NO
160,CN10304589,"FLANGE 4""(100NB) CL.150 CS WELD NECK RAISED FACE NIBR",NO
161,CN10304590,"SOCKOLET 4""X1/2""(100NBX15NB) CL3000 CS NIBR",NO
162,CN10304592,"ELBOW  3""(80 NB) 90° SCH 40 CS BW NIBR",NO
163,CN10304647,"CARTRIDGE BT SERIES  0.2 MICRON X 10"" LENGTH, PP, FOR DM WATER FILTER.",NO
164,CN10304683,"STUD, SIZE : (1/2""X2_1/2""), 2 HEXNUT & 2 SS 304 WAS(0.5MM), ASTM A193 GR B7, GI, A194 GR 2H END FT, CL 150, ANSI B 18.2.1, ANSI B 18.2.2.",NO
165,CN10304684,"STUD, SIZE : (1/2""X2_1/4"") 2 HEXNUT & 2 WAS (0.5MM), ASTM A193 GR B7, A194 GR 2H FOR ENDS FULL THRD, CL 150, ANSI B 18.2.1, ANSI B 18.2.2",NO
166,CN10304685,"STUD,SIZE : (1/2""X2_3/4""), 2 HEXNUT & 2 SS 304 WAS (0.5MM), ASTM A193 GR B7 WITH HOT DIP GI, A194 GR 2H FOR END FULL THRD, CL 150",NO
167,CN10304686,"STUD, SIZE : (3/4""X4""), 2 HEXNUT & 2 SS 304 WAS(0.5MM),ASTM A193 GR B7 WITH HOT DIP GI, A194 GR 2H FOR END FULL THRD,  CL 150",NO
168,CN10304687,"STUD, SIZE : (5/8""X3_1/2""), 2 HEXNUT & 2  SS 304 WAS(0.5MM), ASTM A193 GR B7 WITH HOT DIP GI,  A194 GR 2H FOR END FULL THRD,CL 150",NO
169,CN10304688,"ELBOW 90°  2""(50 NB) MOC : CARBON STEEL A234 GR WPB LR=1.5DTYPE SEAMLESS SCH 80 ENDS BUTT WELD, B16.9",NO
170,CN10304689,"CARBON STEEL SEAMLESS PIPES ASTM A106 GR.B,  SIZE : 8 ,SCH : 8""  NB X SCH 80 ; B/E,",MR
171,IN10600041,"""""MALE CONNECTOR BRASS 1/2""""""",NO
172,IN10600051,"""""1/4"""" NPTM TO 6 MM OD BRASS ELBOW""",NO
173,IN10600060,"""""MALE CONNECTOR    DATA : 1/4"""" NPT THREAD MALE   MOC : BRASS""",NO
174,IN10600075,"COPPER TUBE 1/2""""ANNEALED 18SWG THK SEAMLESS""",MR
175,IN10600495,"WATER METER   SIZE:1"" WITH MATING FLANGE",NO
176,IN10600569,"""""ROTAMETER   SIZE : 2""""   MODEL : TVF-PG-19(M) MAKE : EUREKA - PUNE""",NO
177,IN10600575,"""""CABLE GLAND   SIZE : 1"""" NPT   MODEL : CBF04""",NO
178,IN10600577,"""""CABLE GLAND   SIZE : 1 1/2"""" NPT   MODEL : CBF06""",NO
179,IN10600702,"""""BALL VALVE WITH ACTUATOR 1"""" PVC FLOW:0-700 LPH MAX PR:4BAR""",NO
180,IN10600711,"PRESSURE SWITCH 0.7-7.0 BAR DIAPHARAGM TYPE 2"" 150#",NO
181,IN10600729,"""""BALL VALVE WITH ACTUATOR SIZE 1"""" RATING 150#""",NO
182,IN10600810,"CONTROL VALVE 1.5"" 150# LINE SCH:40 PR:0-3BAR TEMP:0-100DEGC",NO
183,IN10600846,"BREATHER VALVE PALLET OPERATED 6"" 150# PR.SETTING:+500MM OF H2O -100MM OF H2O",NO
184,IN10600931,"RADAR LEVEL TRANSMITTER  MODEL: RAPTOR 5900S FOR FIXED ROOF TANKS WITH 17"" PARABOLA, SUPPLY VOLTAGE: 230VAC FOR HUB",NO
185,IN10600940,"DCS CENTUM VP DCS HARDWARES CONTROLLER AND DATA ACQUISITION SUB-SYSTEM DUPLEXED FIELD CONTROL UNIT (FOR FIO, 19"" RACK  MOUNTABLE), MODEL- AFV30D STANDARD TYPE DUAL REDUNDANT V NET/IP DUAL P-150",SETS
186,IN10600996,"SOLENOID VALVE  1-1/2"" FULL THD",NO
187,IN10601138,"TEMPERATURE GAUGE WITH THERMOWELL, RANGE   0 TO 80  DEG CDIAL SIZE  :  6"", SHEATH OD : 6 mm,",NO
188,IN10601227,"NON CONTACT RADAR LEVEL TRANSMITTER,24 VDC,3"" FLANGE #150 ,SS316",NO
189,IN10601228,"NON CONTACT RADAR LEVEL TRANSMITTER,24 VDC, 2"" #150 SS316 FLANGE",NO
190,IN10601229,"NON CONTACT RADAR LEVEL TRANSMITTER, 24 VDC, 4"" FLANGE 150# ,SS316.DIESEL  LIQUID",NO
191,IN10601231,"CONTROL VALVE 3"", TECHNIK HICON 6000,T-108R,3.7 KG/CM2,40BAR",NO
192,IN10601250,"BALL VALVE WITH ACTUATOR,AIRA MAKE,SINGLE ACTING,1 1/2 "" , UPVC",NO
193,IN10601251,"BALL VALVE WITH ACTUATOR,AIRA MAKE,SINGLE ACTING,2 "" , UPVC",NO
194,IN10601380,"PRESSURE- SEAL FOR,VSC 2"", 600#",NO
195,IN10601394,"CONNECTOR, MALE, 1/4"" TO 12MM, ONE TOUCH FITTING,  AIR SERVICE, UP TO 10 BAR.",NO
196,IN10601406,"PRESSURE GAUGE,BOURDON,  0 TO 10 BAR, DIAL SIZE : 63MM(2-1/2""),BACK ENTRY WITH FRONT PANEL ARRANGEMENT",NO
197,IT11300086,"HIKVISION IP DOME CAMERA (2MP) 20MTRS 2 MP 1/3"" PROGRESSIVE CMOS",NO
198,PM11000127,"""""FILTER CLOTH """"PP"""" MICRON - 1""",MT
199,PROJ92000221,"""""SEAL ASSEMBLY AS PER 2H-155771 ARO - 1.125"""" - SIC VS SIC""",NO
200,PROJ92000222,"""""SEAL ASSEMBLY AS PER 2H-155786 ARO - 1.125"""" - SIC VS SIC""",NO
201,PS11200187,"""""CELLO TAPE  SIZE:1""""  MAKE:CROWN""",NO
202,PS11200188,"""""CELLO TAPE TRANSPERANT  SIZE:2""""  MODEL:3K""",NO
203,PS11200280,"REFLECTOR STICKER 2"" X 6”LONG RED COLOUR ARROW",NO
204,PS11200410,WHITE CHALK PIECES,BOX
205,SP10400234,"""""CABLE GLAND 1/2"""" NPT DC""",NO
206,SP10400583,"""""BOX  12"""" X 8 """"X 3""""  16SWG THK  MS  SPRAY PAINTED""",NO
207,SP10400626,TAPE INSULN ELEC SELF ADHESIVE 1.8CM W 0.125MM THK 8M LG PVC YLW/RED/BLU/BLK/GRN ISI IS 2448 PART II,NO
208,SP10401618,"CONSTANT OIL LEVEL INDICATOR 1/4""""BSP THD 100ML CAP""",NO
209,SP10402739,"""""CABLE GLAND 3/4"""" DC FLP CBF01S COMET""",NO
210,SP10402742,"""""CABLE GLAND 1 1/2"""" DC""",NO
211,SP10402866,"""""SPZ 1348 """"V"""" BELT""",NO
212,SP10402935,"""""SS316 STUD FT 1MTR (L) SIZE: 5/8""""""",NO
213,SP10402962,"""""SS316 NUT SIZE: 5/8""""""",NO
214,SP10402983,"""""HOSE RUBBER FLEXIBLE 1/2"""" 1MTR LENGTH""",NO
215,SP10402984,"""""HOSE SS316 BELLOW BRAIDED 1/2""""BSP""",NO
216,SP10403006,"""""SS316 PIPE ERW SCH10 SIZE: 11/4""""""",MR
217,SP10403011,"""""PIPE MS SMLS SCH.40 1/2"""" (15MM)""",MR
218,SP10403016,"""""CS PIPE SMLS SCH40 1 1/2""""""",MR
219,SP10403019,"""""CS PIPE SMLS SCH40 SIZE: 3/4""""""",MR
220,SP10403020,"""""CS PIPE SMLS SCH40 SIZE: 1/2""""""",MR
221,SP10403025,"ELBOW GI 4"" ERW BW 90DEG C CLASS",NO
222,SP10403037,"""""FLANGE DUMMY 200MM (8"""") MS 150#""",NO
223,SP10403038,"""""CS FLANGE NB 150# SORF ANSI - 3""""""",NO
224,SP10403041,"""""FLANGE BLIND 250MM (10"""") CS 150# SORF""",NO
225,SP10403043,"""""FLANGE 32MM (1 1/4"""") MS  150# SORF""",NO
226,SP10403047,"FLANGE NB 50MM (2"" ) CS 150# SORF ANSI""",NO
228,SP10403050,"""""FLANGE 200MM (8"""")CS 150# SORF ANSI""",NO
229,SP10403051,"""""FLANGE 250MM NB (10"""") CS 150# SORF ANSI""",NO
230,SP10403053,"""""FLANGE 25MM (1"""") SS 150# SORF ANSI""",NO
231,SP10403074,"""""SS316 ERW ELBOW 90DEG BW SCH10- 10""""""",NO
232,SP10403088,"""""SS316 ELBOW 90DEG BW ERW SCH10 1 1/4""""""",NO
233,SP10403092,"""""MS ELBOW THREADED 1/2""""""",NO
234,SP10403096,"REDUCER ECC SS316 SCH 10-11/2""""X11/4""""""",NO
235,SP10403103,"""""BARREL NIPPLE SMLS SCH40 THREADED 1/2""""""",NO
236,SP10403114,"""""SS316 LONG STUBEND SCH10 ERW SIZE: 3""""""",NO
237,SP10403118,"""""SS316 STUBEND LONG SCH10 ERW 1 1/4""""""",NO
238,SP10403119,"""""STUBEND SS316 LONG SCH10 - 3""""""",NO
239,SP10403171,"""""PIPE WRENCH 18"""" TAPARIA/EVEREST""",NO
240,SP10403172,"""""SCREW SPANNER 18""""""",NO
241,SP10403174,"""""SPANNER NON SPARKING RING 30""""X32""""""",NO
242,SP10403186,"""""HACKSAW FRAME FLAT 12"""" JOLLY""",NO
243,SP10403187,"""""SCREW DRIVER HEAVY DUTY 12"""" TAPARIA/EVE.""",NO
244,SP10403225,"""""NON SLAM CHECK VALVE SS316 SIZE: 2""""""",NO
245,SP10403226,"""""NON SLAM CHECK VALVE SS316 SIZE: 11/2""""""",NO
246,SP10403227,"""""NON SLAM CHECK VALVE SS316 SIZE: 1""""""",NO
247,SP10403229,"""""BALL VALVE SS316  1 1/2""""150# FE 2WAY 2P""",NO
248,SP10403231,"""""BALL VALVE SS316 2"""" 150# FLGDEND 2P""",NO
249,SP10403232,"""""BALL VALVE SS316 2PCS - 1 1/2""""""",NO
250,SP10403245,"GATE VALVE 1"" FCS 800# SW""",NO
251,SP10403249,"""""GATE VALVE 2"""" WCB 150# F/E""",NO
252,SP10403251,"GLOBE VALVE 2"" WCB FLGD END",NO
253,SP10403252,"FOOT VALVE BRASS 2"""" SCREWED""",NO
254,SP10403274,"""""FLOW VIEW GLASS 1 1/2""""""",NO
255,SP10403276,"CHAIR ""S""TYPE WITH ARM MODEL BHARATH""",NO
256,SP10403288,"CHAIN COUPLING SET MS SIZE: 1 1/2""",SETS
257,SP10403298,"""""3/8"""" RO HOSE""",MR
258,SP10403330,"""""FILTER CLOTH """"PP"""" MICRON - 5""",MR
259,SP10403481,"""""RUBBER HOSE END FEMALE BSP SWIEVEL NUT PRESSURE 6 BAR 1/2""""*1.5""""""",MR
260,SP10403485,"BOILER TUBE CLEANING BRUSH 2""",NO
261,SP10403486,"""""GREASE NIPPLE WITH CAP BSP 1/8""""""",NO
262,SP10403488,"""""GI ELBOW """"C"""" CLASS ERW 1""""""",NO
263,SP10403493,"PVC THREADED FLANGE 2""",NO
264,SP10403498,"""""PVC FLANGE 1""""""",NO
265,SP10403499,"""""MS FLANGE DIN PN 20 SORF 3/4""""""",NO
266,SP10403500,"""""MS FLANGE DIN PN 20 SORF 1 1/4""""""",NO
267,SP10403502,"""""SS REDUCER CONC 1 1/4 X 1/2""""""",NO
268,SP10403505,"""""PVC REDUCER 3 X 1®""""""",NO
269,SP10403510,"""""MS BEND 'C' CLASS   SEAMLESS   BW 3/4""""""",NO
270,SP10403513,"""""GI ELBOW """"C"""" CLASS ERW 2""""""",NO
271,SP10403514,"""""PVC STUBEND 1""""""",NO
272,SP10403520,"""""REDUCER ECN.SS316 SCH 10 ERW 80X65MM 2 1/2"""" X 2""""""",NO
273,SP10403521,"REDUCER ECN 80X65MM (3""X 21/2"") SS316 SCH 10 ERW",NO
274,SP10403522,"""""GI EQUAL TEE BW """" A"""" CLASS ERW 4""""""",NO
275,SP10403523,"""""PVC REDUCER 2 X 1""""""",NO
276,SP10403526,"""""SS REDUCER 316 SCH 10 ERW CONC 10"""" X 8""""""",NO
277,SP10403532,"TEE MS 4""",NO
278,SP10403540,"""""GI THREADED COUPLING 2""""""",NO
279,SP10403541,"""""GI THREADED COUPLING 2 1/2""""""",NO
280,SP10403542,"""""GI THREADED COUPLING 3""""""",NO
281,SP10403557,"""""SS SHORT STUBEND 1""""""",NO
282,SP10403565,"""""SS TEE ERW  SCH10  BW 2 X 1® """"""",NO
283,SP10403588,"NRV SOCKET WELD  VALVE 1"" 800 #",NO
284,SP10403604,"""""MS SOCKET WELDED TEE 4 X 3 """"""",NO
285,SP10403629,"""""SUBMERSIBLE BORE PUMP  PUMP SIZE:4"""" DIA""",NO
286,SP10403652,"""""TEST SIEVE  SS316  ASTM 5  DIA 8"""" X 2"""" HT""",NO
287,SP10403658,"""""CABLE GLAND 1 3/4"""" DC W/P CBW-09 COMET""",NO
288,SP10403659,"""""CABLE GLAND 2"""" DC FLP CBF010 COMET""",NO
289,SP10403713,"""""GASKET SPW 10"""" SS304  ASBESTOS 600#""",NO
290,SP10403714,"GASKET SPW 2"" SS304 CAF FIL 150# I/O RING",NO
291,SP10403732,"""""HOSE SS METALLIC-3""""X1.5MTR + MS FLANGE""",NO
292,SP10403735,"""""HOSE 4"""" X 3.5 MTR PP FOR OX UNLOADING""",NO
293,SP10403745,"""""WELDED MESH MS 1""""X1""""X 3MM THK""",SMR
294,SP10403748,"""""RUBBER BEEADING 48"""" SHIVE SHAKER""",NO
295,SP10403754,"""""HDPE PIPE - 4 INCH",MR
296,SP10403756,"""""PIPE UPVC PLAIN END PR.10KG/CM2 SCH40 3""""""",MR
297,SP10403757,"""""PIPE PVC HEAVY PR.4KG/CM2 6""""(150MM)""",MR
